name,team,position,overall_rating,age,college,awareness_rating,throw_power_rating,kick_return_rating,lead_block_rating,strength_rating,b_c_vision_rating,catch_in_traffic_rating,play_action_rating,pursuit_rating,plyr_assetname,medium_route_running_rating,catching_rating,acceleration_rating,spin_move_rating,height,finesse_moves_rating,spectacular_catch_rating,run_block_rating,tackle_rating,injury_rating,zone_coverage_rating,weight,plyr_birthdate,running_style_rating,deep_route_running_rating,first_name,years_pro,total_salary,trucking_rating,throw_accuracy_short_rating,juke_move_rating,play_recognition_rating,short_route_running_rating,status,last_name,jersey_num,break_sack_rating,speed_rating,run_block_power_rating,jumping_rating,toughness_rating,throw_on_the_run_rating,man_coverage_rating,stiff_arm_rating,power_moves_rating,iteration,release_rating,hit_power_rating,throw_accuracy_mid_rating,kick_accuracy_rating,pass_block_power_rating,impact_blocking_rating,stamina_rating,carrying_rating,break_tackle_rating,plyr_portrait,kick_power_rating,plyr_handedness,throw_under_pressure_rating,signing_bonus,pass_block_rating,change_of_direction_rating,press_rating,throw_accuracy_deep_rating,archetype,block_shedding_rating,run_block_finesse_rating,team_id,agility_rating,pass_block_finesse_rating,primary_key
Tom Brady,Buccaneers,QB,97,45,Michigan,99,92,10,28,64,51,15,99,30,BradyTom_1327,14,39,70,35,76,10,30,25,32,99,19,225,8/3/77,Default,12,Tom,22,1120000,20,99,57,20,15,published,Brady,12,61,71,15,63,99,83,11,27,10,launch-ratings,12,12,96,28,14,34,99,69,31,494,43,Right,86,10780000,19,65,10,95,QB_FieldGeneral,33,10,6,70,19,1327
Tyreek Hill,Dolphins,WR,97,28,West Alabama,90,41,92,20,64,97,85,19,33,HillTyreek_17838,93,88,99,86,69,10,91,59,27,90,20,185,3/1/94,Short Stride Default,96,Tyreek,6,99900000,38,31,98,26,93,published,Hill,10,28,99,17,92,93,28,10,45,10,launch-ratings,92,25,28,15,19,40,91,79,85,8052,13,Left,24,40800000,33,99,30,23,WR_Playmaker,21,12,12,98,19,17838
Aaron Rodgers,Packers,QB,96,38,California,97,93,10,22,59,78,15,95,24,RodgersAaron_26668,14,47,76,54,74,10,15,23,19,91,19,225,12/2/83,Default,12,Aaron,17,87650000,29,96,53,25,15,published,Rodgers,12,85,80,18,76,98,96,13,22,10,launch-ratings,15,12,93,18,12,29,97,63,65,6299,15,Right,97,125950000,12,79,10,91,QB_FieldGeneral,19,18,20,81,12,26668
Christian McCaffrey,Panthers,HB,96,26,Stanford,91,44,88,47,72,94,72,25,44,McCaffreyChristian_12556,74,83,93,91,71,10,73,38,36,86,17,205,6/7/96,Short Stride High and Tight,67,Christian,5,38640000,59,41,93,28,81,published,McCaffrey,22,24,91,22,90,93,43,12,77,10,launch-ratings,76,27,37,23,36,45,98,96,83,8655,29,Right,17,39390000,67,94,15,30,HB_ReceivingBack,32,22,21,96,32,12556
DeAndre Hopkins,Cardinals,WR,96,30,Clemson,95,35,72,29,79,93,97,15,30,HopkinsDeAndre_506,96,96,88,83,73,32,99,54,52,92,35,212,6/6/92,Short Stride Loose,91,DeAndre,9,42020000,59,15,91,28,97,published,Hopkins,10,22,90,37,99,97,15,32,81,30,launch-ratings,98,35,10,20,27,49,97,72,85,5873,20,Right,23,52400000,44,86,40,10,WR_Physical,45,35,7,89,25,506
Nick Chubb,Browns,HB,96,26,Georgia,98,26,35,37,85,92,53,15,35,ChubbNick_13129,46,67,91,74,71,12,54,37,29,91,16,227,12/27/95,Default Stride High and Tight,39,Nick,4,25180000,91,25,87,18,54,published,Chubb,24,28,92,34,92,92,17,12,94,18,launch-ratings,48,35,20,12,39,35,94,95,98,8846,17,Right,15,15860000,69,82,13,15,HB_PowerBack,29,30,5,83,25,13129
T.J. Watt,Steelers,LOLB,96,27,Wisconsin,98,25,6,16,83,49,42,6,96,WattTJ_12562,14,63,89,37,76,96,48,45,91,88,65,252,10/11/94,Long Stride Loose,7,T.J.,5,87100000,52,6,46,95,24,published,Watt,90,12,83,45,88,91,6,59,53,85,launch-ratings,22,85,6,50,45,76,87,53,23,8770,57,Right,16,35000000,45,71,43,6,OLB_SpeedRusher,88,45,29,84,45,12562
Jonathan Taylor,Colts,HB,95,23,Wisconsin,96,29,45,32,82,97,54,14,33,TaylorJonathan_20928,55,70,93,83,70,10,56,34,27,94,19,226,1/19/99,Default,48,Jonathan,2,4120000,88,25,93,13,62,published,Taylor,28,28,94,27,84,92,17,12,93,10,launch-ratings,51,25,20,15,29,37,97,95,95,604,17,Right,15,3710000,50,87,14,15,HB_PowerBack,25,24,10,87,24,20928
Patrick Mahomes,Chiefs,QB,95,26,Texas Tech,91,97,10,23,70,82,32,96,37,MahomesIIPatrick_12635,17,37,87,69,75,10,30,23,26,96,19,230,9/17/95,Default,15,Patrick,5,227250000,51,95,74,22,27,published,Mahomes,15,89,84,10,74,96,98,17,57,10,launch-ratings,22,18,91,10,10,27,96,64,74,8648,20,Right,95,92260000,10,87,10,89,QB_Improviser,24,10,9,88,10,12635
Quenton Nelson,Colts,LG,95,26,Notre Dame,97,27,10,96,97,16,10,6,36,NelsonQuenton_13081,10,19,67,10,77,10,12,92,34,96,10,329,3/19/96,Long Stride Awkward,10,Quenton,4,22190000,37,6,12,18,10,published,Nelson,56,12,64,93,67,91,6,9,10,10,launch-ratings,12,28,6,15,92,94,90,35,11,9002,21,Left,15,15440000,90,59,10,6,G_Power,27,91,10,69,88,13081
Stefon Diggs,Bills,WR,95,28,Maryland,96,46,85,29,62,95,92,18,35,DiggsStefon_2454,95,98,94,89,72,10,94,53,27,94,38,191,11/29/93,Default Stride Loose,92,Stefon,7,72600000,42,27,97,20,94,published,Diggs,14,27,92,36,91,92,27,33,64,10,launch-ratings,91,12,23,30,20,49,95,74,84,7085,30,Right,20,60120000,39,95,27,18,WR_Playmaker,35,33,3,92,22,2454
Tyron Smith,Cowboys,LT,95,31,USC,98,35,11,92,96,10,48,6,39,SmithTyron_10653,25,56,75,10,77,10,37,94,45,76,12,320,12/12/90,Default Stride Awkward,17,Tyron,11,51080000,10,6,10,10,35,published,Smith,77,12,71,91,72,94,6,12,10,10,launch-ratings,15,20,6,21,95,94,88,55,11,4484,25,Right,14,40180000,94,56,10,6,OT_PassProtector,40,95,11,75,92,10653
Dalvin Cook,Vikings,HB,94,27,Florida State,92,40,65,35,74,95,55,27,38,CookDalvin_12523,61,71,92,87,70,20,51,39,28,84,12,210,8/10/95,Short Stride Default,56,Dalvin,5,38700000,74,38,94,14,68,published,Cook,4,22,91,30,77,81,32,13,82,20,launch-ratings,53,29,32,21,33,33,92,88,93,8516,17,Right,17,26320000,58,95,20,25,HB_ElusiveBack,25,32,31,95,28,12523
David Bakhtiari,Packers,LT,94,30,Colorado,97,22,10,86,91,10,15,6,28,BakhtiariDavid_1713,5,40,68,10,76,10,12,83,40,83,10,310,9/30/91,Default Stride Awkward,5,David,9,40880000,25,6,10,15,15,published,Bakhtiari,69,12,67,80,65,69,6,10,15,10,launch-ratings,15,25,6,20,91,91,85,22,5,5671,20,Right,13,34680000,94,52,10,6,OT_PassProtector,20,84,20,64,97,1713
Fred Warner,49ers,MLB,94,25,BYU,99,14,10,23,76,50,61,6,94,WarnerFred_13203,5,73,93,53,75,60,60,45,90,94,84,230,11/19/96,Short Stride Bread Loaf,5,Fred,4,86300000,46,6,59,99,15,published,Warner,54,12,85,45,94,87,6,74,34,52,launch-ratings,20,80,6,10,45,78,93,63,21,9101,13,Left,10,12560000,45,84,58,6,MLB_FieldGeneral,78,45,15,85,45,13203
Jaire Alexander,Packers,CB,94,25,Louisville,97,26,81,13,60,71,56,6,77,AlexanderJaire_13109,15,71,93,76,70,36,63,35,58,86,94,196,2/9/97,Short Stride Loose,13,Jaire,4,50080000,25,6,85,94,20,published,Alexander,23,22,92,35,84,64,6,96,26,24,launch-ratings,14,62,6,13,35,57,93,62,64,8797,22,Right,13,48000000,35,96,90,6,CB_MantoMan,54,35,20,93,35,13109
Nick Bosa,49ers,RE,94,24,Ohio State,97,25,10,18,87,30,27,6,92,BosaNick_20565,10,45,92,32,76,96,23,45,89,87,42,266,10/23/97,Long Stride Loose,6,Nick,3,19870000,31,6,38,94,17,published,Bosa,97,12,79,45,81,90,6,30,34,87,launch-ratings,16,84,6,17,44,83,86,38,21,9390,17,Right,14,31550000,45,70,31,6,DE_SmallerSpeedRusher,83,45,15,87,45,20565
Tyrann Mathieu,Saints,SS,94,30,LSU,97,35,84,15,61,88,65,19,87,MathieuTyrann_11892,25,82,92,85,69,69,73,35,76,91,93,190,5/13/92,Short Stride Loose,20,Tyrann,9,17500000,35,26,90,96,35,published,Mathieu,32,33,89,35,88,94,27,90,55,41,launch-ratings,25,85,20,22,35,59,95,68,77,5964,25,Right,25,5700000,35,91,87,17,S_Zone,58,35,27,91,35,11892
Cameron Heyward,Steelers,RE,93,33,Ohio State,99,21,10,17,94,29,10,6,93,HeywardCameron_10698,3,48,71,10,77,75,22,45,94,94,32,295,5/6/89,Long Stride Loose,2,Cameron,11,45420000,36,6,10,99,10,published,Heyward,97,12,71,45,74,95,6,22,46,95,launch-ratings,12,92,6,11,45,88,88,39,11,4384,12,Right,18,33440000,45,60,10,6,DE_RunStopper,95,45,29,68,45,10698
Demario Davis,Saints,MLB,93,33,Arkansas St.,96,25,10,24,85,20,15,6,92,DavisDemario_11555,5,60,88,15,74,64,15,45,94,98,81,248,1/11/89,Long Stride Default,5,Demario,10,9620000,45,6,25,92,15,published,Davis,56,12,85,45,86,93,6,73,45,57,launch-ratings,12,88,6,20,45,86,95,62,25,5132,26,Right,16,9540000,45,72,40,6,MLB_FieldGeneral,81,45,27,80,45,11555
Derwin James Jr,Chargers,SS,93,26,Florida State,90,34,78,20,77,73,56,15,88,JamesDerwin_13080,22,72,93,67,74,60,61,35,80,84,88,215,8/3/96,Default Stride Loose,17,Derwin,4,14350000,46,18,77,90,27,published,James Jr,3,24,91,35,93,88,22,87,47,68,launch-ratings,24,91,13,15,35,73,94,72,59,8943,19,Left,10,7090000,35,88,83,10,S_RunSupport,65,35,8,90,35,13080
Joe Mixon,Bengals,HB,93,26,Oklahoma,94,38,76,46,83,92,63,28,38,MixonJoe_12625,58,72,93,83,73,14,72,58,37,92,20,218,7/24/96,Default,56,Joe,5,30300000,88,36,92,15,65,published,Mixon,28,22,91,36,84,91,36,10,90,11,launch-ratings,52,38,32,16,31,43,96,96,89,9241,24,Right,17,19830000,58,89,12,28,HB_ElusiveBack,34,35,2,91,26,12625
Justin Jefferson,Vikings,WR,93,23,LSU,97,43,61,34,64,88,88,24,41,JeffersonJustin_20961,92,94,91,80,73,24,94,48,36,90,26,195,6/16/99,Long Stride Loose,93,Justin,2,2000000,56,35,90,19,92,published,Jefferson,18,23,91,29,94,87,33,18,75,18,launch-ratings,95,17,30,12,18,52,97,76,81,385,18,Right,29,11130000,25,95,18,24,WR_DeepThreat,24,27,31,93,13,20961
Mark Andrews,Ravens,TE,93,26,Oklahoma,98,25,10,49,79,86,89,5,32,AndrewsMark_13112,80,95,90,68,77,10,89,68,27,92,15,256,9/6/95,Long Stride Default,77,Mark,4,33920000,73,15,79,15,84,published,Andrews,89,16,86,63,90,89,10,12,78,10,launch-ratings,82,25,10,10,50,67,97,72,64,8802,12,Right,15,25880000,54,77,10,5,TE_VerticalThreat,28,66,25,80,54,13112
Terron Armstead,Dolphins,LT,93,31,Arkansas P.B.,93,30,10,88,89,30,64,6,24,ArmsteadTerron_964,34,65,78,25,77,10,55,87,37,82,20,304,7/23/91,Default Stride Awkward,26,Terron,9,40670000,35,6,35,17,44,published,Armstead,72,12,78,86,83,86,6,15,33,10,launch-ratings,45,20,6,25,92,85,90,62,15,5661,25,Right,16,33800000,94,59,10,6,OT_PassProtector,25,89,12,68,96,964
Tre'Davious White,Bills,CB,93,27,LSU,96,36,80,18,75,82,58,16,77,WhiteTreDavious_12548,25,73,94,74,71,36,70,25,66,87,97,192,1/16/95,Short Stride Bread Loaf,18,Tre'Davious,5,45090000,28,28,82,95,35,published,White,27,40,91,35,82,81,31,93,43,28,launch-ratings,32,66,22,18,35,55,93,65,74,8775,22,Right,30,37360000,25,88,95,18,CB_Zone,53,35,3,90,35,12548
Vita Vea,Buccaneers,DT,93,27,Washington,93,24,10,42,98,55,24,10,90,VeaVita_13091,17,40,73,43,76,73,18,52,89,92,29,347,2/5/95,Long Stride Default,16,Vita,4,67510000,68,20,59,95,26,published,Vea,50,18,68,52,70,97,13,23,53,90,launch-ratings,15,89,16,16,45,94,82,68,46,9093,15,Right,12,15910000,45,61,22,13,DT_RunStopper,92,48,6,72,45,13091
Budda Baker,Cardinals,SS,92,26,Washington,94,25,66,23,72,76,70,15,88,BakerBudda_12549,41,75,92,72,70,49,75,35,75,91,85,195,1/10/96,Short Stride Loose,36,Budda,5,39300000,36,15,81,95,51,published,Baker,3,27,91,35,86,93,15,81,36,40,launch-ratings,47,87,10,20,35,68,96,72,57,8472,20,Right,17,21900000,35,90,77,10,S_RunSupport,64,35,7,92,35,12549
Darius Slay Jr,Eagles,CB,92,31,Mississippi St.,92,36,72,16,60,83,63,6,78,SlayJrDarius_1426,30,79,93,81,72,49,80,35,63,92,98,190,1/1/91,Short Stride Loose,23,Darius,9,19620000,39,6,86,93,40,published,Slay Jr,2,17,92,35,88,83,6,90,43,40,launch-ratings,40,77,6,21,35,56,93,64,75,6273,25,Right,12,27130000,35,91,84,6,CB_Zone,57,35,13,90,35,1426
Denzel Ward,Browns,CB,92,25,Ohio State,87,31,67,17,61,66,48,6,72,WardDenzel_13101,26,72,96,66,71,33,66,35,64,88,91,190,4/28/97,Short Stride Loose,20,Denzel,4,76180000,19,15,80,85,30,published,Ward,21,18,94,35,92,86,6,93,28,26,launch-ratings,26,72,10,13,35,51,96,66,60,9100,18,Right,15,38400000,35,96,85,8,CB_MantoMan,50,35,5,95,35,13101
Jonathan Allen,Commanders,DT,92,27,Alabama,97,21,10,18,93,25,25,6,88,AllenJonathan_12521,3,35,76,30,75,76,30,45,95,92,29,300,1/16/95,Long Stride Default,2,Jonathan,5,52640000,28,6,28,97,10,published,Allen,93,12,71,45,74,85,6,24,34,91,launch-ratings,12,80,6,8,45,89,81,40,10,8793,9,Right,17,30000000,45,53,16,6,DT_PowerRusher,85,45,26,70,45,12521
Josh Allen,Bills,QB,92,26,Wyoming,86,99,13,17,76,95,20,89,33,AllenJosh_13197,15,40,92,75,77,9,23,17,32,96,18,237,5/21/96,Default,13,Josh,4,222150000,73,89,84,15,22,published,Allen,17,95,89,10,90,93,95,12,79,9,launch-ratings,18,11,87,14,15,26,94,57,83,8800,22,Right,91,55600000,14,82,9,88,QB_Improviser,23,10,3,85,10,13197
Kevin Byard,Titans,FS,92,29,Mid Tenn St.,92,44,55,15,73,64,47,17,88,ByardKevin_17752,12,80,89,60,71,53,68,16,80,98,93,212,8/17/93,Default Stride Loose,10,Kevin,6,29740000,50,31,72,91,31,published,Byard,31,10,89,34,90,90,18,82,48,47,launch-ratings,22,79,26,19,34,60,94,78,55,7928,20,Left,26,14760000,12,85,67,36,S_Zone,66,33,30,89,33,17752
Khalil Mack,Chargers,ROLB,92,31,Buffalo,95,32,10,28,89,55,54,6,94,MackKhalil_12344,5,62,87,60,75,88,53,45,85,92,59,260,2/22/91,Default Stride Loose,5,Khalil,8,50400000,55,6,54,94,15,published,Mack,52,12,85,45,94,92,6,50,51,89,launch-ratings,28,88,6,22,45,90,87,61,31,6504,24,Right,12,13500000,45,72,48,6,OLB_PowerRusher,89,45,8,86,45,12344
Lane Johnson,Eagles,RT,92,32,Oklahoma,95,65,10,92,88,60,65,39,55,JohnsonLane_927,33,64,80,50,78,60,64,92,60,84,20,325,5/8/90,Default,25,Lane,9,56270000,65,59,54,29,46,published,Johnson,65,39,78,93,82,91,52,12,55,53,launch-ratings,45,60,54,22,92,92,87,67,30,5902,25,Right,41,60870000,90,59,10,50,OT_Power,56,90,13,75,87,927
Lavonte David,Buccaneers,MLB,92,32,Nebraska,95,15,10,28,77,35,15,6,93,DavidLavonte_11306,5,77,89,25,73,61,50,45,93,92,79,233,1/23/90,Default Stride Awkward,5,Lavonte,10,8000000,26,6,35,93,15,published,David,54,12,85,45,88,89,6,72,39,55,launch-ratings,25,85,6,12,45,85,93,60,10,5133,14,Right,14,10150000,45,78,59,6,MLB_FieldGeneral,85,45,6,86,45,11306
Mike Evans,Buccaneers,WR,92,29,Texas AM,96,35,55,39,78,89,98,10,25,EvansMike_10857,84,91,89,75,77,10,97,55,39,95,27,231,8/21/93,Default Stride Loose,85,Mike,8,15620000,72,25,83,15,85,published,Evans,13,22,90,38,96,94,15,40,80,10,launch-ratings,97,15,20,24,25,59,96,79,77,6407,25,Right,20,18400000,45,82,20,15,WR_Physical,35,35,6,84,23,10857
Von Miller,Bills,RE,92,33,Texas AM,92,19,10,29,84,40,20,6,95,MillerVon_10737,5,51,86,46,75,89,41,45,90,94,60,250,3/26/89,Default Stride Loose,5,Von,11,75290000,41,6,53,91,15,published,Miller,40,12,85,45,83,88,6,49,35,91,launch-ratings,33,89,6,15,45,89,86,65,20,4432,21,Right,13,44680000,45,75,62,6,DE_RunStopper,92,45,3,87,45,10737
Bobby Wagner,Rams,MLB,91,32,Utah State,92,25,10,28,81,48,15,6,90,WagnerBobby_11567,5,73,87,24,72,65,48,45,95,98,75,242,6/27/90,Default Stride Awkward,5,Bobby,10,5000000,41,6,42,92,15,published,Wagner,45,12,85,45,91,74,6,68,53,72,launch-ratings,12,92,6,20,45,87,97,61,23,6138,20,Right,10,9500000,45,77,42,6,MLB_RunStopper,87,45,24,84,45,11567
Cameron Jordan,Saints,LE,91,33,California,98,30,10,22,92,26,15,6,92,JordanCameron_10697,8,36,79,25,76,77,15,45,91,97,40,287,7/10/89,Default Stride Awkward,4,Cameron,11,18930000,10,6,30,98,15,published,Jordan,94,12,77,45,76,92,6,30,25,90,launch-ratings,20,85,6,29,45,92,90,40,14,4404,33,Right,14,46500000,45,68,20,6,DE_RunStopper,88,45,27,79,45,10697
Chris Jones,Chiefs,DT,91,28,Mississippi St.,95,23,9,19,92,27,14,6,90,JonesChris_17676,6,29,79,21,78,88,16,44,84,90,29,300,7/3/94,Default Stride High and Tight,3,Chris,6,22000000,33,6,31,93,13,published,Jones,95,12,69,46,63,93,6,23,29,96,launch-ratings,15,81,6,17,44,90,82,29,10,8082,17,Right,16,72090000,44,62,13,6,DT_PowerRusher,86,45,9,72,45,17676
Corey Linsley,Chargers,C,91,31,Ohio State,96,26,10,88,92,10,10,6,30,LinsleyCorey_2084,5,35,67,10,75,10,12,88,29,89,12,301,7/27/91,Long Stride Awkward,5,Corey,8,46000000,24,6,10,10,10,published,Linsley,63,12,68,83,68,84,6,12,10,10,launch-ratings,12,12,6,22,86,88,88,39,6,6494,22,Right,16,16500000,90,47,10,6,C_PassProtector,10,90,8,65,92,2084
Darren Waller,Raiders,TE,91,29,Georgia Tech,93,35,22,41,70,89,85,6,37,WallerDarren_2457,81,89,90,72,78,10,88,59,32,90,20,255,9/13/92,Default Stride Loose,78,Darren,6,27800000,74,15,77,15,86,published,Waller,83,13,90,59,87,85,10,10,67,10,launch-ratings,83,15,10,14,62,56,92,74,73,7365,22,Right,10,2720000,62,82,15,6,TE_VerticalThreat,35,55,23,85,58,2457
Joey Bosa,Chargers,LOLB,91,27,Ohio State,98,28,9,20,87,39,26,6,96,BosaJoey_17537,6,47,84,28,77,96,29,45,85,89,37,280,7/11/95,Default Stride Loose,3,Joey,6,72860000,36,6,33,98,13,published,Bosa,97,12,81,44,78,87,6,26,43,87,launch-ratings,17,82,6,19,45,90,90,43,22,7902,26,Right,14,76500000,45,70,22,6,OLB_SpeedRusher,84,45,8,85,44,17537
Justin Simmons,Broncos,FS,91,28,Boston College,92,26,48,10,66,58,50,15,89,SimmonsJustin_17758,12,78,91,60,74,36,66,18,74,92,89,202,11/19/93,Default,10,Justin,6,29900000,53,15,68,93,22,published,Simmons,31,12,88,34,96,85,15,79,44,32,launch-ratings,22,79,10,19,34,55,96,62,47,8214,20,Right,22,31100000,13,90,65,10,S_Zone,67,33,4,95,33,17758
Keenan Allen,Chargers,WR,91,30,California,94,42,75,45,72,94,95,15,35,AllenKeenan_505,94,90,89,83,74,10,95,59,34,87,26,211,4/27/92,Long Stride Loose,88,Keenan,9,59600000,71,35,87,26,93,published,Allen,13,22,88,25,93,93,31,15,78,10,launch-ratings,91,15,28,20,39,65,96,80,84,5654,22,Right,23,33150000,45,88,10,21,WR_Slot,35,19,8,92,34,505
Marshon Lattimore,Saints,CB,91,26,Ohio State,88,22,70,15,72,74,60,6,72,LattimoreMarshon_12528,24,73,94,73,72,44,72,35,72,88,90,192,5/20/96,Default,17,Marshon,5,66030000,23,6,80,84,34,published,Lattimore,23,17,92,35,91,82,6,91,33,32,launch-ratings,20,69,6,25,35,55,92,61,67,8632,30,Right,10,39800000,35,91,96,6,CB_MantoMan,52,35,27,90,35,12528
Micah Hyde,Bills,FS,91,31,Iowa,96,30,83,12,58,83,48,6,84,HydeMicah_11903,23,77,90,74,72,49,70,35,72,95,91,197,12/31/90,Short Stride Loose,18,Micah,9,6320000,33,6,84,97,33,published,Hyde,23,14,89,35,83,83,6,84,45,36,launch-ratings,25,71,6,48,35,57,94,74,59,6261,56,Right,25,16760000,35,84,83,6,S_Zone,56,35,3,88,35,11903
Stephon Gilmore,Colts,CB,91,31,South Carolina,91,43,70,16,68,69,62,25,71,GilmoreStephon_11436,11,76,93,53,73,44,70,35,67,89,90,190,9/19/90,Default,10,Stephon,10,10480000,22,39,80,90,15,published,Gilmore,5,33,90,35,92,72,39,94,30,60,launch-ratings,15,68,35,25,35,56,93,62,67,5184,30,Right,30,9250000,35,92,90,32,CB_MantoMan,54,35,10,92,35,11436
Terry McLaurin,Commanders,WR,91,25,Ohio State,89,32,40,22,67,89,90,6,53,McLaurinTerry_20435,89,97,93,78,72,11,95,50,41,93,24,210,9/15/96,Short Stride Default,89,Terry,3,4760000,50,15,88,19,87,published,McLaurin,17,22,94,23,87,92,10,16,55,11,launch-ratings,96,34,10,14,15,45,96,78,81,9567,16,Right,18,1000000,37,89,16,6,WR_DeepThreat,41,18,26,88,11,20435
